ticker,security,sector,sub_industry,first_year,last_year,n_years,first_margin,last_margin,change_since_first,change_1y,change_3y,change_5y,change_10y
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2009,2025,17,0.5114929703191252,0.5243235463442717,0.012830576025146478,-0.01868720634390031,-0.019192808795915228,-0.007049369932184524,0.018875304640457946
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2009,2025,17,0.4013984384104416,0.4690516410716045,0.06765320266116293,0.0069881429192651945,0.03595533545800372,0.08671916379349592,0.06845262089746079
ABT,Abbott Laboratories,Health Care,Health Care Equipment,2009,2025,17,0.5706336809903634,0.5641806533116765,-0.006453027678686829,0.010092453073297536,0.0026843071269927465,-0.002306864025355404,-0.007149902924540097
ADBE,Adobe Inc.,Information Technology,Application Software,2009,2025,17,0.8992712806782959,0.8926753334174765,-0.006595947260819357,0.002324252273556482,0.01564477565307798,0.02649566291701022,0.0478865298885095
ADI,Analog Devices,Information Technology,Semiconductors,2009,2025,17,0.5551801868869447,0.614669518890112,0.059489332003167306,0.04383538512104457,-0.012307630096570432,-0.043984972516006415,-0.04303106089057507
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2009,2025,17,0.7092976867149817,0.589486416320614,-0.11981127039436767,-0.004418676123502552,-0.027889478636437426,-0.05634872144188541,-0.08030326698474743
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2009,2025,17,0.2853843550162587,0.4867456288776086,0.2013612738613499,0.01217247609574229,0.021630251720346605,0.0395883215877586,0.07759354274032737
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2009,2025,17,0.2256722020482272,0.5028566486824266,0.27718444663419944,0.01431271404085882,0.06480325002916382,0.10717872999536954,0.17245461515159666
APD,Air Products,Materials,Industrial Gases,2009,2025,17,0.2681742205857416,0.3141319066568084,0.04595768607106682,-0.010802394121665393,0.049527934565396725,-0.024406760732507693,0.01591767508296732
BA,Boeing,Industrials,Aerospace & Defense,2009,2025,17,0.1719512016519969,0.0479416071448531,-0.1240095945071438,0.0778738049288782,-0.004634659970208101,0.1456925614417684,-0.0979892666092306
BAX,Baxter International,Health Care,Health Care Equipment,2009,2025,17,0.5194236586530807,0.3005158306652437,-0.21890782798783703,-0.0740610779470165,-0.05659394237783183,-0.09244227779016623,-0.11541514846798262
BDX,Becton Dickinson,Health Care,Health Care Equipment,2009,2025,17,0.5255330564397586,0.4544413919413919,-0.07109166449836668,0.002216196183635888,0.005209807415689771,0.011782047430087372,-0.0021818331120996293
BIIB,Biogen,Health Care,Biotechnology,2009,2025,17,0.912708790802102,0.7569207125957981,-0.15578807820630391,-0.004300465795876063,-0.019132524276830543,-0.10880976655568286,-0.127841174470108
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2009,2025,17,0.7267120374308805,0.7108353736979707,-0.015876663732909857,2.7920281821636195e-05,-0.06955414947194205,-0.012270134557356482,-0.05311390166434815
BSX,Boston Scientific,Health Care,Health Care Equipment,2009,2025,17,0.6853932584269663,0.6901464581050114,0.004753199678045106,0.004053426517264369,0.0020057862866862397,0.03968746486381303,-0.01922895984336359
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,2009,2025,17,0.1914014895057549,0.3378804243294027,0.1464789348236478,-0.04185078584202412,0.0336920924263957,0.034488645082492664,0.10219056997916379
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2009,2025,17,0.321806471400092,0.3845285149632976,0.0627220435632056,0.038167328979470116,-0.13943000461474636,0.190299610986576,0.02543095908278792
CL,Colgate-Palmolive,Consumer Staples,Household Products,2009,2025,17,0.5877210152019312,0.6010695711902659,0.013348555988334732,-0.003925205189018621,0.030690542971865575,-0.007090224814833901,0.014877728855227867
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,2009,2025,17,0.2008333333333333,0.2529254529254529,0.05209211959211957,0.005461961048143671,0.013593686878576788,0.005890977129178077,-0.005944248801391716
COR,Cencora,Health Care,Health Care Distributors,2009,2025,17,0.0292652632755383,0.0357216515752161,0.006456388299677797,0.0020093225815676005,0.0009487310415638994,0.008380682280600599,0.009763530087227298
CVS,CVS Health,Health Care,Health Care Services,2009,2025,17,0.206423644521873,0.449925012497917,0.243501367976044,0.003256611252238917,0.06050531994022901,0.060186785588209,0.27686740926222
DGX,Quest Diagnostics,Health Care,Health Care Services,2009,2025,17,0.4203441792574702,0.3321250566379701,-0.0882191226195001,0.003518897804906884,-0.015239104041985307,-0.05284898172167812,-0.04636153084367939
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2009,2025,17,0.4720830817300909,0.5911348095083034,0.11905172777821255,-0.0038808972979792467,-0.010975069427859974,0.0313161055054314,0.06774582632969706
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2009,2025,17,0.363446508286717,0.397669541607976,0.03422303332125903,0.015710368062301805,0.037593811314636294,0.02751576588891974,0.028487657704280522
ECL,Ecolab,Materials,Specialty Chemicals,2009,2025,17,0.4953055621462224,0.4446434345695594,-0.050662127576662996,0.010012461466785805,0.06707961213056252,0.0303671712322115,-0.02206408327822318
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,2009,2025,17,0.3681090126703323,0.528363676731794,0.16025466406146166,0.02041718690787442,0.11122576853473859,0.11078846076515708,0.12269653182505086
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,2009,2025,17,0.0554994192250668,0.0683569448968585,0.012857525671791693,-0.07520601998810951,-0.081335887435781,-0.04483754324257391,-0.04920348934755331
FAST,Fastenal,Industrials,Trading Companies & Distributors,2009,2025,17,0.5094647029264426,0.4501188951893177,-0.059345807737124945,-0.0007027321629218819,-0.010557837469766018,-0.004576268871383904,-0.053587438983726976
GILD,Gilead Sciences,Health Care,Biotechnology,2009,2025,17,0.7724331989851361,0.7882688584723024,0.015835659487166365,0.005664699051004529,-0.00437070752601143,-0.026547456485776055,-0.08899453807783697
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2009,2025,17,0.4901206201382007,0.5874393538958355,0.09731873375763478,0.00039600893721059016,0.009947617812814835,-0.005249702284481961,0.04185187468285234
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,2009,2025,17,0.4176357696435112,0.3906476424032995,-0.026988127240211657,-0.002991686580856967,0.006552554407502298,0.03140376684171614,-0.03362440006493389
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,2009,2025,17,0.3386726305609284,0.3331552133492831,-0.005517417211645281,-0.0010348890868667193,-0.00214970460018421,-0.006357314089971977,-0.008748784662443165
