ticker,security,cik,sector,sub_industry,fiscal_year,gross_profit_margin,gross_profit,revenue,cost_of_revenue,gross_profit_source,revenue_source,cost_source,form,filed,source,is_current_constituent
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2009,0.5114929703191252,2292000000.0,4481000000.0,2189000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2009-12-21 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2010,0.5382072005878031,2930000000.0,5444000000.0,2514000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2010-12-20 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2011,0.5334845049130763,3529000000.0,6615000000.0,3086000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2011-12-16 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2012,0.5255176436278799,3604000000.0,6858000000.0,3254000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2012-12-20 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2013,0.5212326747272191,3535000000.0,6782000000.0,3247000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2013-12-19 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2014,0.5146827102134365,3593000000.0,6981000000.0,3388000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2014-12-22 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2015,0.5054482417038137,2041000000.0,4038000000.0,1997000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2015-12-21 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2016,0.52284626368396,2197000000.0,4202000000.0,2005000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2016-12-20 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2017,0.5386851520572451,2409000000.0,4472000000.0,2063000000.0,derived:revenue_minus_cost,SalesRevenueNet,CostOfRevenue,10-K,2017-12-21 00:00:00,SEC companyfacts,True
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2018,0.5468050468050468,2687000000.0,4914000000.0,2227000000.0,derived:revenue_minus_cost,RevenueFromContractWithCustomerExcludingAssessedTax,CostOfGoodsAndServicesSold,10-K,2018-12-20 00:00:00,SEC companyfacts,True
