sector,fuel,n_years,slope_margin_change_per_unit_price_change,corr_margin_change_vs_price_change
Communication Services,CrudeOil,16,-0.0013276292665934828,-0.3927349116392523
Communication Services,NaturalGas,16,-0.012340314730450703,-0.29532834830131777
Communication Services,Electricity,16,-0.0007111298069800355,-0.105660179278365
Consumer Discretionary,CrudeOil,16,0.0007350204743216691,0.5147397325082889
Consumer Discretionary,NaturalGas,16,0.0063820823135260045,0.3615820526759295
Consumer Discretionary,Electricity,16,0.00016400259030437546,0.057687103399037994
Consumer Staples,CrudeOil,16,-0.00019498478019103533,-0.15633355632484303
Consumer Staples,NaturalGas,16,-0.00753158613846131,-0.48853327590234563
Consumer Staples,Electricity,16,-0.00011532482291029726,-0.04644233640391339
Energy,CrudeOil,16,-0.002666810295308929,-0.6934790692936643
Energy,NaturalGas,16,-0.0402167898761563,-0.8460671740052528
Energy,Electricity,16,-0.0017094737523140426,-0.22327671856252218
Financials,CrudeOil,16,-0.00041908523294475596,-0.12943797911899568
Financials,NaturalGas,16,0.0011458858530192949,0.0286323459132128
Financials,Electricity,16,0.0010655968059702773,0.16530730476949768
Health Care,CrudeOil,16,0.00036358728736505684,0.5001908830929783
Health Care,NaturalGas,16,0.0033450071532642074,0.37228911747909926
Health Care,Electricity,16,-0.00018763858696519903,-0.12965492097158532
Industrials,CrudeOil,16,-0.0001592948523199185,-0.17965035548838376
Industrials,NaturalGas,16,-0.003526847725953582,-0.3217875648682631
Industrials,Electricity,16,0.000727376656509368,0.4120268023925039
Information Technology,CrudeOil,16,-0.00025117919182502,-0.2612146522901128
Information Technology,NaturalGas,16,0.00012751619296177518,0.01072841148642718
Information Technology,Electricity,16,-5.655644902791091e-05,-0.029541720071048175
Materials,CrudeOil,16,-0.0003062632157913573,-0.39374430051029524
Materials,NaturalGas,16,-0.00039438775985750933,-0.04102032327759897
Materials,Electricity,16,-0.000137918554456396,-0.08905983946529711
Real Estate,CrudeOil,15,0.0006180256381196063,0.18598951417852122
Real Estate,NaturalGas,15,-0.0033033232857613143,-0.08279248799239011
Real Estate,Electricity,15,8.580192015655872e-05,0.01329416940641077
Utilities,CrudeOil,14,-0.000580387141096509,-0.3853847104989035
Utilities,NaturalGas,14,-0.004392819922576041,-0.2500124009064283
Utilities,Electricity,14,-0.0001634941264667604,-0.057540145529424463
