sector,pre_2019_2021,post_2022_2024,change_post_minus_pre
Utilities,0.2508855459271075,0.19602677708458052,-0.05485876884252697
Energy,0.3309782932813307,0.30389529249237995,-0.027083000788950762
Consumer Staples,0.4022407957332794,0.37751844947806906,-0.02472234625521036
Real Estate,0.6470525394834051,0.6437528554875463,-0.003299683995858782
Materials,0.2824655828738883,0.28383499920316546,0.0013694163292771733
Health Care,0.5998364229262206,0.6053041906587513,0.0054677677325306595
Information Technology,0.5592902878012134,0.5712792476865999,0.011988959885386508
Industrials,0.3391733621778453,0.35217137716531166,0.012998014987466389
Financials,0.5639121296801268,0.5795008053889341,0.015588675708807287
Communication Services,0.5680509727220754,0.5893821238217211,0.021331151099645673
Consumer Discretionary,0.42749636025285526,0.4512760923102314,0.023779732057376157
