sector,avg_rank,avg_scenario_effect
Energy,1.0,-0.020073502198798266
Communication Services,2.375,-0.006433359280138175
Utilities,3.625,-0.0033800505254400143
Consumer Staples,4.0,-0.0020558322167348354
Materials,5.625,-0.0011904529495528528
Industrials,6.375,0.0008492682367175826
Information Technology,6.625,-0.0009032348161698594
Health Care,8.625,0.0017398996292212771
Financials,8.625,0.0020870648468884253
Real Estate,9.125,0.004561080451015175
Consumer Discretionary,10.0,0.0036696046182300313
